Matuarity,2 Years,3 Years,5 Years,7 Years,10 Years,20 Years,30 Years,,,,,
0.5,-1.29,-1.49,-1.10,-0.74,-0.21,0.18,0.39,,,,,
1,-1.10,-1.29,-1.00,-0.73,-0.30,0.02,0.20,,,,,
1.5,-0.92,-1.11,-0.88,-0.69,-0.36,-0.10,0.05,,,,,
2,-0.75,-0.93,-0.75,-0.63,-0.38,-0.16,-0.04,,,,,
2.5,-0.60,-0.76,-0.61,-0.54,-0.34,-0.17,-0.06,,,,,
3,-0.46,-0.60,-0.47,-0.44,-0.27,-0.14,-0.04,,,,,
3.5,-0.34,-0.45,-0.32,-0.33,-0.19,-0.09,0.00,,,,,
4,-0.23,-0.32,-0.19,-0.22,-0.10,-0.03,0.06,,,,,
4.5,-0.13,-0.20,-0.07,-0.12,-0.01,0.04,0.13,,,,,
5,-0.04,-0.10,0.03,-0.03,0.07,0.10,0.19,,,,,
5.5,0.05,-0.01,0.12,0.05,0.14,0.16,0.25,,,,,
6,0.12,0.08,0.20,0.12,0.21,0.22,0.31,,,,,
6.5,0.19,0.15,0.27,0.18,0.27,0.26,0.36,,,,,
7,0.26,0.21,0.33,0.23,0.32,0.31,0.40,,,,,
7.5,0.31,0.27,0.38,0.28,0.36,0.35,0.45,,,,,
8,0.37,0.32,0.42,0.32,0.40,0.39,0.49,,,,,
8.5,0.42,0.36,0.46,0.36,0.44,0.42,0.52,,,,,
9,0.46,0.41,0.50,0.39,0.47,0.45,0.56,,,,,
9.5,0.50,0.44,0.53,0.43,0.50,0.48,0.59,,,,,
10,0.54,0.48,0.56,0.46,0.53,0.51,0.62,,,,,
10.5,0.57,0.51,0.58,0.48,0.56,0.53,0.65,,,,,
11,0.61,0.54,0.61,0.51,0.59,0.56,0.67,,,,,
11.5,0.63,0.57,0.63,0.53,0.61,0.58,0.69,,,,,
12,0.66,0.60,0.65,0.55,0.63,0.60,0.72,,,,,
12.5,0.69,0.62,0.68,0.58,0.65,0.62,0.74,,,,,
13,0.71,0.65,0.69,0.60,0.67,0.64,0.75,,,,,
13.5,0.73,0.67,0.71,0.62,0.69,0.66,0.77,,,,,
14,0.75,0.69,0.73,0.63,0.71,0.68,0.79,,,,,
14.5,0.76,0.71,0.75,0.65,0.73,0.69,0.80,,,,,
15,0.78,0.73,0.77,0.67,0.74,0.71,0.82,,,,,
15.5,0.79,0.75,0.78,0.69,0.76,0.73,0.83,,,,,
16,0.81,0.77,0.80,0.70,0.77,0.74,0.84,,,,,
16.5,0.82,0.78,0.81,0.72,0.79,0.75,0.86,,,,,
17,0.83,0.80,0.83,0.73,0.80,0.77,0.87,,,,,
17.5,0.84,0.81,0.84,0.75,0.82,0.78,0.88,,,,,
18,0.85,0.83,0.85,0.76,0.83,0.79,0.89,,,,,
18.5,0.86,0.84,0.87,0.77,0.84,0.81,0.90,,,,,
19,0.87,0.85,0.88,0.79,0.86,0.82,0.91,,,,,
19.5,0.88,0.86,0.89,0.80,0.87,0.83,0.92,,,,,
