Date,Liquidity Weight Index,Liquid Duration,Equal Weight Index,Equal Duration
1/8/2019,198.0199,0.3128,199.7746,0.53
31/07/2019,197.9675,0.3128,199.7323,0.53
30/07/2019,197.9088,0.3128,199.6604,0.53
29/07/2019,197.8733,0.3128,199.6376,0.53
26/07/2019,197.891,0.3128,199.6181,0.53
25/07/2019,197.8123,0.3128,199.5448,0.53
24/07/2019,197.7777,0.3128,199.5218,0.53
23/07/2019,197.7378,0.3128,199.4723,0.53
22/07/2019,197.7392,0.3128,199.4993,0.53
19/07/2019,197.7829,0.3128,199.5241,0.53
18/07/2019,197.6806,0.3128,199.4235,0.53
17/07/2019,197.6316,0.3128,199.3696,0.53
16/07/2019,197.5792,0.3128,199.3008,0.53
15/07/2019,197.5381,0.3128,199.2482,0.53
12/7/2019,197.5569,0.3128,199.2471,0.53
11/7/2019,197.4615,0.3128,199.1654,0.53
10/7/2019,197.4238,0.3128,199.1156,0.53
9/7/2019,197.4052,0.3128,199.1403,0.53
8/7/2019,197.3744,0.3128,199.0803,0.53
5/7/2019,197.3722,0.3128,199.0484,0.53
4/7/2019,197.2433,0.3128,198.9134,0.53
3/7/2019,197.2102,0.3128,198.87,0.53
2/7/2019,197.164,0.3128,198.8225,0.53
1/7/2019,197.1157,0.3128,198.7556,0.53
28/06/2019,197.1391,0.3128,198.7558,0.53
27/06/2019,197.0552,0.3128,198.6907,0.53
26/06/2019,197.0222,0.3128,198.6594,0.53
25/06/2019,197.0478,0.3128,198.7522,0.53
24/06/2019,196.9556,0.3128,198.5637,0.53
21/06/2019,197.0306,0.3128,198.6892,0.53
20/06/2019,196.939,0.3128,198.6126,0.53
19/06/2019,196.903,0.3128,198.5784,0.53
18/06/2019,196.8422,0.3128,198.5158,0.53
17/06/2019,196.8397,0.3128,198.4964,0.53
14/06/2019,196.8404,0.3128,198.4702,0.53
13/06/2019,196.7665,0.3128,198.3994,0.53
12/6/2019,196.7173,0.3128,198.3408,0.53
11/6/2019,196.7176,0.3128,198.3774,0.53
10/6/2019,196.7184,0.3128,198.3944,0.53
7/6/2019,196.7399,0.3128,198.399,0.53
6/6/2019,196.6359,0.3128,198.2739,0.53
4/6/2019,196.5625,0.3128,198.1791,0.53
3/6/2019,196.5121,0.3128,198.1503,0.53
31/05/2019,196.4882,0.3128,198.0726,0.53
30/05/2019,196.3708,0.3128,197.9392,0.53
29/05/2019,196.3027,0.3128,197.8509,0.53
28/05/2019,196.2887,0.3128,197.8408,0.53
27/05/2019,196.2529,0.3128,197.8126,0.53
24/05/2019,196.264,0.3128,197.7892,0.53
23/05/2019,196.1558,0.3128,197.6895,0.53
22/05/2019,196.0937,0.3128,197.6232,0.53
21/05/2019,196.0843,0.3128,197.6072,0.53
20/05/2019,196.042,0.3128,197.5802,0.53
17/05/2019,196.043,0.3128,197.5356,0.53
16/05/2019,195.9471,0.3128,197.4464,0.53
15/05/2019,195.9162,0.3128,197.4322,0.53
14/05/2019,195.8732,0.3128,197.364,0.53
13/05/2019,195.7964,0.3128,197.2607,0.53
10/5/2019,195.8242,0.3128,197.2759,0.53
9/5/2019,195.7258,0.3128,197.1773,0.53
8/5/2019,195.6835,0.3128,197.1353,0.53
7/5/2019,195.6516,0.3128,197.0959,0.53
6/5/2019,195.6184,0.3128,197.0576,0.53
3/5/2019,195.6411,0.3128,197.0673,0.53
2/5/2019,195.5697,0.3128,197.0265,0.53
30/04/2019,195.5663,0.3128,197.0115,0.53
26/04/2019,195.5362,0.3128,196.9646,0.53
25/04/2019,195.4684,0.3128,196.8973,0.53
24/04/2019,195.4335,0.3128,196.8709,0.53
23/04/2019,195.3952,0.3128,196.7959,0.53
22/04/2019,195.4018,0.3128,196.8571,0.53
18/04/2019,195.4588,0.3128,196.9006,0.53
16/04/2019,195.379,0.3128,196.839,0.53
15/04/2019,195.3483,0.3128,196.8495,0.53
12/4/2019,195.3351,0.3128,196.7843,0.53
11/4/2019,195.2871,0.3128,196.7972,0.53
10/4/2019,195.2628,0.3128,196.7602,0.53
9/4/2019,195.2585,0.3128,196.7738,0.53
8/4/2019,195.2046,0.3128,196.6991,0.53
5/4/2019,195.2696,0.3128,196.796,0.53
4/4/2019,195.1648,0.3128,196.6881,0.53
3/4/2019,195.1333,0.3128,196.6688,0.53
2/4/2019,195.0939,0.3128,196.6243,0.53
29/03/2019,195.1794,0.3128,196.6761,0.53
28/03/2019,195.01493,0.31284,196.49456,0.53
27/03/2019,194.9517,0.3128,196.4346,0.53
26/03/2019,194.9267,0.3128,196.4115,0.53
25/03/2019,194.9038,0.3128,196.3848,0.53
22/03/2019,194.9172,0.3128,196.3771,0.53
20/03/2019,194.8471,0.3128,196.3189,0.53
19/03/2019,194.7832,0.3128,196.2479,0.53
18/03/2019,194.7523,0.3128,196.2231,0.53
15/03/2019,194.7837,0.3128,196.2556,0.53
14/03/2019,194.6745,0.3128,196.1545,0.53
13/03/2019,194.6166,0.3128,196.0747,0.53
12/3/2019,194.5777,0.3128,196.033,0.53
11/3/2019,194.5362,0.3128,195.979,0.53
8/3/2019,194.579,0.3128,196.0244,0.53
7/3/2019,194.4759,0.3128,195.9369,0.53
6/3/2019,194.4258,0.3128,195.8624,0.53
5/3/2019,194.3949,0.3128,195.8282,0.53
1/3/2019,194.4598,0.3128,195.8878,0.53
28/02/2019,194.3113,0.3128,195.7344,0.53
27/02/2019,194.2948,0.3128,195.7333,0.53
26/02/2019,194.2525,0.3128,195.677,0.53
25/02/2019,194.2415,0.3128,195.68,0.53
22/02/2019,194.2501,0.3128,195.6728,0.53
21/02/2019,194.1676,0.3128,195.6046,0.53
20/02/2019,194.1316,0.3128,195.5655,0.53
18/02/2019,194.1277,0.3128,195.5549,0.53
15/02/2019,194.1441,0.3128,195.5664,0.53
14/02/2019,194.054,0.3128,195.4987,0.53
13/02/2019,194.0152,0.3128,195.4608,0.53
12/2/2019,193.9532,0.3128,195.3532,0.53
11/2/2019,193.9291,0.3128,195.3386,0.53
8/2/2019,193.9659,0.3128,195.3495,0.53
7/2/2019,193.8521,0.3128,195.2602,0.53
6/2/2019,193.7212,0.3128,195.0527,0.53
5/2/2019,193.681,0.3128,195.0009,0.53
4/2/2019,193.6507,0.3128,194.9724,0.53
1/2/2019,193.6316,0.3128,194.9363,0.53
31/01/2019,193.5948,0.3128,194.918,0.53
